Designator,Mid X,Mid Y,Rotation,Layer
C101,112.522,-92.522,270.0,top
C102,112.522,-97.602,270.0,top
C103,112.522,-103.952,270.0,top
C104,112.522,-109.032,270.0,top
C105,117.602,-92.522,270.0,top
C106,117.602,-97.602,270.0,top
C107,117.602,-103.952,270.0,top
C108,117.602,-109.032,270.0,top
C109,127.0,-92.456,270.0,top
C110,127.0,-97.536,270.0,top
C111,122.682,-103.952,270.0,top
C112,122.682,-109.032,270.0,top
C113,122.682,-92.456,270.0,top
C114,122.682,-97.536,270.0,top
C115,161.29,-94.234,270.0,top
C116,161.29,-99.06,270.0,top
C117,161.29,-104.14,270.0,top
C118,161.29,-109.22,270.0,top
C119,167.64,-94.234,270.0,top
C120,167.64,-99.06,270.0,top
C121,167.64,-104.14,270.0,top
C122,167.64,-109.22,270.0,top
C123,173.99,-94.234,270.0,top
C124,173.99,-99.06,270.0,top
C125,173.99,-104.14,270.0,top
C126,173.99,-109.22,270.0,top
C127,179.07,-94.234,270.0,top
C128,179.07,-99.06,270.0,top
J101,100.0,-124.46,180.0,top
J102,170.0,-124.46,180.0,top
R101,102.362,-97.602,270.0,top
R102,107.442,-109.032,270.0,top
R103,122.428,-115.316,180.0,top
R104,102.362,-92.522,270.0,top
R105,123.19,-123.19,90.0,top
R106,107.442,-97.602,270.0,top
R107,102.362,-109.032,270.0,top
R108,122.428,-118.872,180.0,top
R109,149.606,-99.06,270.0,top
R110,154.94,-109.22,270.0,top
R111,146.6615,-119.126,0.0,top
R112,149.606,-94.234,270.0,top
R113,146.05,-123.444,90.0,top
R114,154.94,-99.06,270.0,top
R115,149.352,-109.22,270.0,top
R116,146.6615,-115.824,0.0,top
SW101,137.415,-124.206,90.0,top
